cell_id	assay_type	description	assay_category	assay_organism	organism	target_type	pref_name	assay_id	chembl_id	molregno	molecule_type	standard_value	published_value	standard_units	standard_type	published_relation	published_value	published_units	doc_id	journal	year	volume	issue	first_page	last_page	pubmed_id	full_mwt	hba	hbd	psa	rtb	acd_logp	acd_logd	canonical_smiles	cell_source_organism	cell_name	clo_id	efo_id	cellosaurus_id
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	GEMCITABINE	54858	CHEMBL888	75901	Small molecule	35.600000000000000000000000000000	0.035600000000000000000000000000	nM	IC50	=	0.035600000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	263.20	6	3	108.38	2	-2.22	-2.22	NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	NULL	54858	CHEMBL138636	230736	Small molecule	19855.000000000000000000000000000000	19.855000000000000000000000000000	nM	IC50	=	19.855000000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	407.57	4	0	68.40	20	2.62	3.22	CCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	VINCRISTINE	54858	CHEMBL90555	142808	Small molecule	1.120000000000000000000000000000	0.001120000000000000000000000000	nM	IC50	=	0.001120000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	824.96	12	3	171.17	10	5.75	5.20	CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	NULL	54858	CHEMBL138287	230701	Small molecule	17163.000000000000000000000000000000	17.163000000000000000000000000000	nM	IC50	=	17.163000000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	421.59	4	0	68.40	21	3.13	3.73	CCCCCCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	MILTEFOSINE	54858	CHEMBL125	25047	Small molecule	24920.000000000000000000000000000000	24.920000000000000000000000000000	nM	IC50	=	24.920000000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	407.57	4	0	68.40	20	3.41	4.01	CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	PACLITAXEL	54858	CHEMBL428647	8062	Small molecule	4.890000000000000000000000000000	0.004890000000000000000000000000	nM	IC50	=	0.004890000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	853.91	14	4	221.28	14	3.95	3.95	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro cytotoxic activity against prostate carcinoma (DU-145) cells assayed by inhibition of [3H]-labeled thymidine incorporation	NULL	Homo sapiens	Homo sapiens	CELL-LINE	NULL	54858	CHEMBL139865	230726	Small molecule	132980.000000000000000000000000000000	132.980000000000000000000000000000	nM	IC50	=	132.980000000000000000000000000000	uM	16248	J. Med. Chem.	2001	44	25	4462	4467	11728191	365.49	4	0	68.40	17	1.09	1.69	CCCCCCCCCCCCOP(=O)([O-])COCC[N+](C)(C)C	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	Compound was evaluated for in vitro activity against DU-145 prostate cell lines (Human tumor cells )	NULL	Homo sapiens	Homo sapiens	CELL-LINE	METHOTREXATE	55207	CHEMBL34259	49931	Small molecule	45.000000000000000000000000000000	45.000000000000000000000000000000	nM	IC50	=	45.000000000000000000000000000000	nM	14769	J. Med. Chem.	1998	41	26	5310	5319	9857098	454.44	12	5	210.54	9	-0.45	-5.10	CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	Compound was evaluated for in vitro activity against DU-145 prostate cell lines (Human tumor cells )	NULL	Homo sapiens	Homo sapiens	CELL-LINE	NULL	55027	CHEMBL18155	35874	Small molecule	9.500000000000000000000000000000	9.500000000000000000000000000000	nM	IC50	=	9.500000000000000000000000000000	nM	14769	J. Med. Chem.	1998	41	26	5310	5319	9857098	573.56	13	7	248.42	12	-0.46	-5.14	Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cnc2n1	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
408	F	In vitro antitumor activity against human solid tumor prostrate cell line DU-145	NULL	Homo sapiens	Homo sapiens	CELL-LINE	NULL	55029	CHEMBL286882	52437	Small molecule	120.000000000000000000000000000000	0.120000000000000000000000000000	nM	IC50	=	0.120000000000000000000000000000	uM	3368	Bioorg. Med. Chem. Lett.	1999	9	2	145	150	10021917	519.46	9	8	197.49	2	1.58	1.57	OCC1OC(C(O)C(O)C1O)n2c3cc(O)ccc3c4c5C(=O)NC(=O)c5c6c7ccc(O)cc7[nH]c6c24	Homo sapiens	DU-145	CLO_0002840	NULL	CVCL_0105
